az	nev	szulev	halev
695	Linda STAHL 	1985	
696	Claus SCHIPROWSKI 	1942	
697	Gennadi AVDEENKO 	1963	
698	Heidemarie ROSENDAHL 	1947	
699	Eeles Enok LANDSTRÖM 	1932	
700	Emil HIRSCHFELD 	1903	1968
701	Reese HOFFA 	1977	
702	Tero PITKAMAKI 	1982	
703	Donald Robert LAZ 	1929	1996
704	Daniel KELLY 	1883	1920
705	David Luther ROBERTS 	1951	
706	Hestrie CLOETE 	1978	
707	Primoz KOZMUS 	1979	
708	Maria COLON 	1958	
709	Ray EWRY 	1873	1937
710	Betty HEIDLER 	1983	
711	Robert Lloyd SEAGREN 	1946	
712	Leroy SAMSE 	1883	1956
713	Balazs KISS 	1972	
714	Anatoli BONDARCHUK 	1940	
715	Herman Harold BRIX 	1906	2007
716	Tamara BYKOVA 	1958	
717	Kristo Gantchev MARKOV 	1965	
718	Frans Wilhelmi PÖRHÖLÄ 	1897	1964
719	Joe GREENE 	1967	
720	William Waring MILLER 	1912	2008
721	Juho Julius SAARISTO 	1891	1969
722	Dorothy Louise RITTER 	1958	
723	Arne AHMAN 	1925	
724	Kaj Tapio RAUTAVAARA 	1915	1979
725	Mikael M, DORIZAS 	1886	1957
726	Patrick RYAN 	1881	1964
727	Harry Franklin PORTER 	1882	1965
728	Gerhard (Gerd) STÖCK 	1911	1985
729	Adhemar FERREIRA DA SILVA 	1927	2001
730	Elena ISINBAEVA 	1982	
731	Valentin GAVRILOV 	1946	
732	Jackie JOYNER-KERSEE 	1962	
733	Vassilka STOEVA 	1940	
734	Wolfgang HANISCH 	1951	
735	Christian CANTWELL 	1980	
736	Tamara TYSHKEVICH 	1931	1997
737	Benjamen Van Doren HEDGES 	1907	1969
738	Margitta DROESE-PUFE 	1952	
739	Yelena YELESINA 	1970	
740	Jörg FREIMUTH 	1961	
741	Matti Henrik JARVINEN 	1909	1985
742	Francis C, IRONS 	1886	1942
743	Gael MULHALL-MARTIN 	1956	
744	Nick HYSONG 	1971	
745	Roberto S, MOYA 	1965	
746	Paula MOLLENHAUER 	1908	1988
747	Micheline OSTERMEYER 	1922	2001
748	Inha BABAKOVA 	1967	
749	Tatyana TALYSHEVA 	1937	
750	Kristiina LILLAK 	1961	
751	Ibolya CSAK 	1915	2006
752	Bjorn OTTO 	1977	
753	Oleksandr BAGACH 	1966	
754	Earlene Dennis BROWN 	1935	1983
755	Mary Denise BIGNAL-RAND 	1940	
756	Robert Howard BENNETT 	1919	1974
757	Janusz SIDLO 	1933	1993
758	Argentina MENIS 	1948	
759	Edwin MYERS 	1896	1978
760	Giorgio OBERWEGER 	1913	1998
761	Joan Lino MARTINEZ 	1978	
762	Yarisley SILVA 	1987	
763	Renaud LAVILLENIE 	1986	
764	Gregory JOY 	1956	
765	Jadwiga WAJSOURNA 	1912	1990
766	Yuri TARMAK 	1946	
767	Miloslava REZKOVA-HUBNER 	1950	
768	Vala FLOSADOTTIR 	1978	
769	Danila BURKENYA 	1978	
770	Paul WINTER 	1906	1992
771	Vadims VASILEVSKIS 	1982	
